id,gender,height,religion,caste,mother_tongue,profession,location,country,age_of_marriage
231,female,"5'4""",Hindu, Sahu,Chattisgarhi,Not Specified,Janjgir, India,28
232,female,"4'10""",Hindu, Baishnab,Bengali,Not Specified,Alipore, India,25
233,female,"5'7""",,others,Telugu,,Hyderabad, India,22
234,female,"5'8""",Hindu, Baidya,Bengali,Not Specified,Kolkata, India,26
235,female,"5'3""",,others,Marwari,Chartered Accountant,Ahmedabad, India,24
236,female,"5'0""",Hindu, Panchal,Gujarati,Not Specified,Deoghar, India,30
237,male,"5'9""",Hindu, Thakur,Hindi,Marketing Professional,Mumbai, India,28
238,female,"5'3""",Sikh, Gursikh,Punjabi,Not working,Patiala, India,29
239,male,"5'9""",Christian, Roman Catholic,Malayalam,HR Professional,Bengaluru / Bangalore, India,31
240,male,"5'9""",Hindu, Viswabrahmin,Telugu,Software Professional,Hyderabad, India,29
241,male,"5'10""",,others,,,, India,29
242,male,"5'7""",,,,Sales Professional / Marketing,Ahmedabad, India,22
243,male,"5'7""",,others,Telugu,Finance Professional,Mancherial, India,33
244,male,,,,,,, India,32
245,female,"5'0""",Hindu, Lingayath,Kannada,Admin Professional,Hubbali-Dharwad, India,29
246,male,"5'11""",Hindu, Kalita,Assamese,Mechanical / Production Engineer,Chandigarh, India,31
247,male,"5'4""",Hindu, OBC - Barber/Naayee,Gujarati,Mechanical / Production Engineer,Bharuch, India,29
248,male,"5'8""",Hindu, Sindhi-Sakkhar,Sindhi,Entrepreneurs / Business ,Kanpur, India,30
249,male,"5'4""",Hindu, Rajput - Lodhi,Hindi,Accounting Professional (Others),Mathura, India,28
250,male,"5'9""",Jain, Shwetamber,Gujarati,Investment Professional,Belleville- NJ, USA,35
251,female,"4'5""",Hindu, Balija,Kannada,Team Member / Staff,Bengaluru / Bangalore, India,26
252,male,"6'1""",Hindu, Goud,Telugu,Banking Professional,Hyderabad, India,29
253,male,"5'1""",Hindu, Bhatia,Gujarati,Not working,Gandhinagar, India,30
254,male,"5'7""",Hindu, Panchal,Gujarati,Finance Professional,Ahmedabad, India,29
255,male,"5'5""",Hindu, Scheduled Caste (SC),Hindi,Training Professional (Others),Mandi, India,33
256,male,"5'10""",,,,,Jhunjhunun, India,34
257,female,"5'4""",Hindu, Brahmin,Bengali,Marketing Professional,Mumbai, India,30
258,male,"5'6""",Hindu, Sindhi-Sakkhar,Sindhi,Accounting Professional (Others),Delhi, India,28
259,male,"5'5""",Hindu, Rajput - Lodhi,Hindi,Not working,Jhansi, India,28
260,female,"5'2""",Hindu, Baidya,Bengali,Team Member / Staff,Kolkata, India,28
261,male,"5'9""",Sikh, Gursikh,Punjabi,Team Member / Staff,Punjab, India,32
262,male,"5'5""",Hindu, Kaibarta,Odia,Marketing Professional,Cuttack, India,31
