Resistansi,Induktansi,Daya Aktif,Daya Reaktif,Tegangan Terminal,Arus Stator,Fasa Arus,Tegangan Fasa,Faktor Daya
810,"4,05","10,82","17,36","134,1","0,08807","58,06","77,42","0,529"
815,"4,075","10,65","17,05","132,6","0,08753","58,02","76,56","0,5296"
820,"4,1","105,98","169,54","132,7","0,8699","57,99","76,61","0,53"
825,"4,125","10,60","16,74","132,3","0,08647","57,67","76,38","0,5348"
830,"4,15","10,50","16,63","132,1","0,08595","57,73","76,27","0,5339"
835,"4,175","10,46","16,56","132,4","0,08542","57,74","76,44","0,5337"
840,"4,2","10,39","16,42","132,1","0,08492","57,69","76,27","0,5345"
845,"4,225","10,39","16,63","134,1","0,08443",58,"77,42","0,5298"
850,"4,25","10,30","16,26","132,4","0,08394","57,64","76,44","0,5352"
855,"4,275","10,23","16,25","132,9","0,08343","57,82","76,73","0,5325"
860,"4,3","10,18","16,04","132,2","0,08295","57,6","76,33","0,5359"
865,"4,325","10,13","15,94","132,2","0,08249","57,58","76,33","0,5362"
870,"4,35","9,96","16,01","132,8","0,08199","58,12","76,67","0,5282"
875,"4,375","10,03","15,78","132,4","0,08154","57,56","76,44","0,05364"
880,"4,4","9,97","15,68","132,3","0,08107","57,56","76,38","0,5364"
885,"4,425","9,88","15,59","132,2","0,08062","57,63","76,33","0,5354"
890,"4,45","9,86","15,58","132,8","0,08017","57,67","76,67","0,5348"
895,"4,475","9,77","15,56","133,1","0,07971","57,88","76,85","0,5318"
900,"4,5","9,74","15,32","132,2","0,07928","57,57","76,33","0,5363"
905,"4,525","9,69","15,32","132,2","0,07917","57,69","76,33","0,5345"
910,"4,55","9,64","15,39","133,7","0,07841","57,94","77,19","0,5308"
915,"4,575","9,55","15,20","132,9","0,07798","57,84","76,73","0,5322"
920,"4,6","9,54","15,00","132,3","0,07756","57,54","76,38","0,5367"
925,"4,625","9,47","14,93","132,3","0,07714","57,62","76,38","0,5355"
930,"4,65","9,41","14,83","132,2","0,0767","57,59","76,33","0,5359"
935,"4,675","9,30","14,79","132,2","0,0763","57,82","76,33","0,5325"
940,"4,7","9,20","14,76","132,3","0,0759","58,08","76,38","0,5287"
945,"4,725","9,15","15,55",138,"0,0755","59,53","79,67","0,5071"
950,"4,75","9,18","14,57","132,4","0,07511","57,78","76,44","0,5332"
955,"4,775","9,17","14,44","132,2","0,07471","57,59","76,33","0,536"
960,"4,8","9,11","14,38","132,3","0,0743","57,64","76,38","0,5352"
965,"4,825","9,07","14,34","132,5","0,07394","57,67","76,50","0,5348"
970,"4,85","8,74","14,40","132,2","0,07355","58,75","76,33","0,5188"
975,"4,875","8,92","14,22","132,4","0,07318","57,91","76,44","0,5312"
980,"4,9","8,85","14,16","132,4","0,07281","57,98","76,44","0,5302"
985,"4,925","8,91","14,29","134,2","0,07244","58,06","77,48","0,529"
990,"4,95","8,85","13,96","132,4","0,07207","57,61","76,44","0,5357"
995,"4,975","8,79","14,18","134,3","0,07171","58,19","77,54",5.271
1000,5,"8,75","13,85","132,6","0,07135","57,72","76,56","0,534"
